id,title,rank,mean,num_list_users,main_picture.medium,main_picture.large
77,Mahou Shoujo Lyrical Nanoha A's,731,7.95,67356,https://cdn.myanimelist.net/images/anime/4/6767.jpg,https://cdn.myanimelist.net/images/anime/4/6767l.jpg
933,Dai Mahou Touge,4713,6.92,35274,https://cdn.myanimelist.net/images/anime/1349/103321.webp,https://cdn.myanimelist.net/images/anime/1349/103321l.webp
1221,Demashita! Powerpuff Girls Z,7138,6.49,37402,https://cdn.myanimelist.net/images/anime/12/3253.webp,https://cdn.myanimelist.net/images/anime/12/3253l.webp
1642,Sugar Sugar Rune,1943,7.5,45306,https://cdn.myanimelist.net/images/anime/5/74728.webp,https://cdn.myanimelist.net/images/anime/5/74728l.webp
1808,Kamichama Karin,3455,7.18,54565,https://cdn.myanimelist.net/images/anime/12/76297.jpg,https://cdn.myanimelist.net/images/anime/12/76297l.jpg
1915,Mahou Shoujo Lyrical Nanoha StrikerS,1568,7.61,55133,https://cdn.myanimelist.net/images/anime/3/14190.jpg,https://cdn.myanimelist.net/images/anime/3/14190l.jpg
1929,Futari wa Precure: Max Heart,4441,6.99,21283,https://cdn.myanimelist.net/images/anime/3/7536.jpg,https://cdn.myanimelist.net/images/anime/3/7536l.jpg
1932,Yes! Precure 5,3499,7.18,19526,https://cdn.myanimelist.net/images/anime/4/7535.jpg,https://cdn.myanimelist.net/images/anime/4/7535l.jpg
2367,Moetan,7744,6.39,30094,https://cdn.myanimelist.net/images/anime/4/21540.webp,https://cdn.myanimelist.net/images/anime/4/21540l.webp
2489,Onegai My Melody,2670,7.33,18819,https://cdn.myanimelist.net/images/anime/6/23590.webp,https://cdn.myanimelist.net/images/anime/6/23590l.webp
2923,Shugo Chara!,2362,7.4,226094,https://cdn.myanimelist.net/images/anime/1615/145754.webp,https://cdn.myanimelist.net/images/anime/1615/145754l.webp
3328,School Days: Magical Heart Kokoro-chan,12029,5.53,45430,https://cdn.myanimelist.net/images/anime/1746/121860.webp,https://cdn.myanimelist.net/images/anime/1746/121860l.webp
5262,Shugo Chara!! Doki,2289,7.42,106490,https://cdn.myanimelist.net/images/anime/1186/145753.webp,https://cdn.myanimelist.net/images/anime/1186/145753l.webp
5684,Fresh Precure!,2465,7.38,18476,https://cdn.myanimelist.net/images/anime/9/21267.jpg,https://cdn.myanimelist.net/images/anime/9/21267l.jpg
6129,Umi Monogatari: Anata ga Ite Kureta Koto,6473,6.6,30180,https://cdn.myanimelist.net/images/anime/7/15586.jpg,https://cdn.myanimelist.net/images/anime/7/15586l.jpg
7082,Shugo Chara! Party!,6108,6.66,76145,https://cdn.myanimelist.net/images/anime/1125/145752.webp,https://cdn.myanimelist.net/images/anime/1125/145752l.webp
7645,Heartcatch Precure!,919,7.86,34736,https://cdn.myanimelist.net/images/anime/2/25915.webp,https://cdn.myanimelist.net/images/anime/2/25915l.webp
9756,Mahou Shoujo Madoka★Magica,223,8.37,1344018,https://cdn.myanimelist.net/images/anime/11/55225.webp,https://cdn.myanimelist.net/images/anime/11/55225l.webp
9893,Suite Precure♪,2863,7.29,17587,https://cdn.myanimelist.net/images/anime/3/32129.jpg,https://cdn.myanimelist.net/images/anime/3/32129l.jpg
10491,Higurashi no Naku Koro ni Kira,6881,6.53,89619,https://cdn.myanimelist.net/images/anime/6/29774.jpg,https://cdn.myanimelist.net/images/anime/6/29774l.jpg
10519,Mahou Shoujo Sonico★Magica,11059,5.78,21679,https://cdn.myanimelist.net/images/anime/4/28921.jpg,https://cdn.myanimelist.net/images/anime/4/28921l.jpg
11751,Senki Zesshou Symphogear,4193,7.04,123938,https://cdn.myanimelist.net/images/anime/11/75580.webp,https://cdn.myanimelist.net/images/anime/11/75580l.webp
12191,Smile Precure!,5126,6.84,48249,https://cdn.myanimelist.net/images/anime/12/76179.jpg,https://cdn.myanimelist.net/images/anime/12/76179l.jpg
14283,Vividred Operation,7547,6.43,68392,https://cdn.myanimelist.net/images/anime/3/45935.webp,https://cdn.myanimelist.net/images/anime/3/45935l.webp
14751,Bishoujo Senshi Sailor Moon Crystal,3731,7.13,153510,https://cdn.myanimelist.net/images/anime/1209/133699.webp,https://cdn.myanimelist.net/images/anime/1209/133699l.webp
14829,Fate/kaleid liner Prisma☆Illya,4328,7.01,284825,https://cdn.myanimelist.net/images/anime/1773/121542.jpg,https://cdn.myanimelist.net/images/anime/1773/121542l.jpg
15793,Senki Zesshou Symphogear G,2112,7.46,62487,https://cdn.myanimelist.net/images/anime/2/86630.jpg,https://cdn.myanimelist.net/images/anime/2/86630l.jpg
16157,Choujigen Game Neptune The Animation,4851,6.89,156095,https://cdn.myanimelist.net/images/anime/6/52141.webp,https://cdn.myanimelist.net/images/anime/6/52141l.webp
16419,Dokidoki! Precure,5896,6.7,29628,https://cdn.myanimelist.net/images/anime/13/46363.webp,https://cdn.myanimelist.net/images/anime/13/46363l.webp
16656,Zettai Junpaku♡Mahou Shoujo,12664,5.32,20525,https://cdn.myanimelist.net/images/anime/9/65213.webp,https://cdn.myanimelist.net/images/anime/9/65213l.webp
17651,Genei wo Kakeru Taiyou,7693,6.4,55974,https://cdn.myanimelist.net/images/anime/4/51071.jpg,https://cdn.myanimelist.net/images/anime/4/51071l.jpg
17725,Magical☆Star Kanon 100%,5521,6.76,32844,https://cdn.myanimelist.net/images/anime/7/75235.webp,https://cdn.myanimelist.net/images/anime/7/75235l.webp
17919,Houkago no Pleiades (TV),5907,6.7,37614,https://cdn.myanimelist.net/images/anime/5/73434.jpg,https://cdn.myanimelist.net/images/anime/5/73434l.jpg
18851,Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!,6154,6.66,55441,https://cdn.myanimelist.net/images/anime/7/60279.jpg,https://cdn.myanimelist.net/images/anime/7/60279l.jpg
20509,Fate/kaleid liner Prisma☆Illya 2wei!,3384,7.2,169882,https://cdn.myanimelist.net/images/anime/12/64175.jpg,https://cdn.myanimelist.net/images/anime/12/64175l.jpg
20479,Choujigen Game Neptune The Animation: Yakusoku no Eien - True End,3239,7.22,34036,https://cdn.myanimelist.net/images/anime/7/54393.jpg,https://cdn.myanimelist.net/images/anime/7/54393l.jpg
21573,Senki Zesshou Symphogear GX,2166,7.45,49677,https://cdn.myanimelist.net/images/anime/9/86681.jpg,https://cdn.myanimelist.net/images/anime/9/86681l.jpg
25519,Yuuki Yuuna wa Yuusha de Aru,2561,7.36,160243,https://cdn.myanimelist.net/images/anime/8/77057.webp,https://cdn.myanimelist.net/images/anime/8/77057l.webp
25939,Mahou Shoujo Lyrical Nanoha ViVid,5770,6.72,27785,https://cdn.myanimelist.net/images/anime/9/72718.jpg,https://cdn.myanimelist.net/images/anime/9/72718l.jpg
26165,Yuri Kuma Arashi,4268,7.03,106050,https://cdn.myanimelist.net/images/anime/3/69203.jpg,https://cdn.myanimelist.net/images/anime/3/69203l.jpg
27525,Fate/kaleid liner Prisma☆Illya 2wei Herz!,3636,7.15,148993,https://cdn.myanimelist.net/images/anime/7/75297.webp,https://cdn.myanimelist.net/images/anime/7/75297l.webp
26057,Fate/kaleid liner Prisma☆Illya 2wei!: Mahou Shoujo in Onsen Ryokou,4577,6.95,44572,https://cdn.myanimelist.net/images/anime/1889/126452.webp,https://cdn.myanimelist.net/images/anime/1889/126452l.webp
27727,Binan Koukou Chikyuu Bouei-bu LOVE!,5234,6.82,84992,https://cdn.myanimelist.net/images/anime/10/68451.webp,https://cdn.myanimelist.net/images/anime/10/68451l.webp
28669,Go! Princess Precure,1016,7.81,20493,https://cdn.myanimelist.net/images/anime/10/88625.jpg,https://cdn.myanimelist.net/images/anime/10/88625l.jpg
31417,Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!,4391,7.0,30302,https://cdn.myanimelist.net/images/anime/13/79937.jpg,https://cdn.myanimelist.net/images/anime/13/79937l.jpg
