Year,Cute Girls Doing Cute Things,Exorcism,Fashion,Isekai,Iyashikei,Kaiju,Love Triangle,Otaku Culture,Reincarnation,Super Robot
2005,5,2,2,6,4,3,19,0,4,4
2006,5,4,3,6,2,4,13,5,4,6
2007,10,1,2,4,3,3,15,5,1,6
2008,5,1,2,4,5,0,20,5,1,5
2009,12,1,1,12,3,5,16,4,3,4
2010,15,0,2,4,5,0,17,5,1,3
2011,20,3,1,9,7,2,21,5,2,3
2012,23,1,1,12,7,0,29,8,3,3
2013,27,1,1,16,4,4,23,13,7,9
2014,26,4,1,12,8,7,24,7,6,9
2015,25,2,0,7,1,6,21,7,5,5
2016,21,6,2,17,6,3,13,8,6,7
2017,36,4,1,13,8,3,17,18,4,4
2018,29,3,1,24,12,5,27,12,3,9
2019,24,1,1,24,8,5,19,7,9,5
2020,26,2,2,22,12,4,17,8,11,1
2021,22,1,1,41,15,9,19,10,14,6
2022,36,0,1,30,18,5,28,7,15,3
2023,23,8,1,39,29,2,23,11,24,5
2024,20,4,2,32,25,3,23,10,22,7
