mediaId,media.title.english
21711,91 Days
9776,A-Channel
8101,Hen Zemi
20785,Absolute Duo
21823,ACCA: 13-Territory Inspection Dept.
11759,Accel World
21417,Active Raid
21534,Active Raid Second
21033,"Actually, I Am"
13161,Aesthetica of a Rogue Hero
696,Tenchi Muyo! Tenchi Universe
53,Ai Yori Aoshi
394,Ai Yori Aoshi: Enishi
101,Air
20613,Akame ga Kill!
4744,The Hill Dyed Rose Madder
21410,Alderamin on the Sky
8676,Amagami SS
11235,Amagami SS+ plus
9117,Amagami SS OVA
9925,Amagami SS: Sister
97730,Seiren
21406,Amanchu!
11933,The Ambition of Oda Nobuna
21290,And you thought there is never a girl online?
21439,Ange Vierge
21238,Anne-Happy
11111,Another
20704,Anti-Magic Academy: The 35th Test Platoon
21319,AOKANA: Four Rhythm Across the Blue
7647,Arakawa Under the Bridge
9074,Arakawa Under the Bridge x Bridge
8630,Aria the Scarlet Ammo
20991,Aria the Scarlet Ammo AA
18893,Arpeggio of Blue Steel
9736,Astarotte's Toy
21131,The Asterisk War
21390,The Asterisk War 2
5342,Asura Cryin'
6676,Asura Cryin' 2
20506,Atelier Escha & Logy ~Alchemists of the Dusk Sky~
16498,Attack on Titan
20958,Attack on Titan Season 2
99147,Attack on Titan Season 3
104578,Attack on Titan Season 3 Part 2
66,Azumanga Daioh
7817,Yamada's First Time: B Gata H Kei
2251,Baccano!
6347,Baka and Test - Summon the Beasts
9471,Baka and Test - Summon the Beasts: Matsuri
8516,Baka and Test - Summon the Beasts 2
21197,Bakuon!!
21702,BATTERY the animation
10308,Battle Girls: Time Paradox
21471,BBK/BRNK
21740,BBK/BRNK The Gentle Giants of the Galaxy
21066,Beautiful Bones -Sakurako's Investigation-
9513,Beelzebub
10396,Ben-To
18153,Beyond the Boundary
21445,Big Order
20457,Black Bullet
11285,Black Rock Shooter
7059,Black★Rock Shooter (OVA)
20619,Blade & Soul
18767,BlazBlue: Alter Memory
6979,Blessing of the Campanella
11633,Blood Lad
10490,Blood-C
9919,Blue Exorcist
21861,Blue Exorcist: Kyoto Saga
8917,Bodacious Space Pirates
20454,Brave Witches
11241,Brave 10
10079,A Bridge to the Starry Skies
11161,A Bridge to the Starry Skies OVA
20534,Brynhildr in the Darkness
10162,Bunny Drop
14237,Busou Shinki: Armored War Goddess
10163,[C] - CONTROL - The Money and Soul of Possibility
20446,Captain Earth
97881,Cardcaptor Sakura: Clear Card
232,Cardcaptor Sakura
10012,Carnival Phantasm
20951,Castle Town Dandelion
6166,Cat Planet Cuties
20672,Celestial Method
21608,Cerberus
4654,A Certain Magical Index
8937,A Certain Magical Index II
100185,A Certain Magical Index III
6213,A Certain Scientific Railgun
16049,A Certain Scientific Railgun S
104463,A Certain Scientific Accelerator
20462,Chaika -The Coffin Princess-
20719,Chaika -The Coffin Princess- AVENGING BATTLE
21126,Chaos;Child
4975,ChäoS;HEAd
20997,Charlotte
21092,Chivalry of a Failed Knight
59,Chobits
18495,Chronicles of the Going Home Club
2167,Clannad
4059,"Clannad: Another World, Tomoyo Chapter"
4181,Clannad: After Story
6351,"Clannad: Another World, Kyou Chapter"
21112,Classroom☆Crisis
11703,Code:Breaker
21275,Comet Lucifer
21249,Concrete Revolutio
21540,Concrete Revolutio: THE LAST SONG
